Conjunction,日本語,Grammar Meaning,Level
aruiwa,あるいは,or; either; maybe; perhaps ~,N2
ba ii,ばいい,"should, can, it’d be good if ~",N3
ba koso,ばこそ,only because ~,N1
ba sore made da / tara sore made da,ばそれまでだ / たらそれまでだ,if... then it’s over,N1
beku,べく,in order to; for the purpose of ~,N1
beku shite,べくして,as it is bound to (happen); following the natural course,N1
chinamini,ちなみに,by the way; in this connection; incidentally; (conjunction),N2
dakedo,だけど,but; however; although ~,N3
datte,だって,because; but; after all; even; too,N2
de are / de arou to,であれ / であろうと,whoever; whatever; even ~,N1
de are~de are,であれ~であれ,whether [A] or [B],N1
demo,でも,but; however; though~,N5
ga,が,subject marker; however; but ~,N5
ippou de,一方で【いっぽうで】,"on one hand, on the other hand; although ~",N2
izure ni shitemo / shiro / seyo,いずれにしても / しろ / せよ,anyhow; anyway; either way; in any case ~,N1
jaa,じゃあ,then; well; so; well then,N5
ka to omoikiya,かと思いきや 【かとおもいきや】,"contrary to expectations; or so we thought, but ~",N1
ka to omottara,かと思ったら 【かとおもったら】,just when; no sooner than ~,N2
ka~ka,か~か,or,N5
kai mo naku,甲斐もなく【かいもなく】,despite; even though ~,N1
kara,から,because; since; from,N5
katagata,かたがた,while; at the same time; incidentally; for the purpose of ~,N1
kawari ni,代わりに【かわりに】,instead of; in exchange for ~,N3
kedo,けど,but; however ~,N5
keredo mo,けれども,but; however ~,N5
korekara,これから,after this,N4
koso are,こそあれ,although; even though ~,N1
koso sure,こそすれ,and; although; but ~,N1
koso~ga/keredo,こそ「~が/けれど」,but; although (emphasis),N1
koto tote,こととて,because; since ~,N1
koto wa~ga,ことは~が,although; but ~,N3
kuse ni,くせに,and yet; although ~,N3
kuse shite,くせして,although; even though ~,N2
matawa,または,both; or; otherwise,N4
mo~ba~mo,も~ば~も,and; also; either/or,N3
mono dakara,ものだから,so; therefore,N2
mono de,もので,because; for that reason,N1
moshikuwa,もしくは,or; otherwise,N1
moshimo~tara,もしも〜たら,if; in the case; supposing ~,N3
motto mo,もっとも,but then; although; though ~,N2
nagara ni / nagara no,ながらに / ながらの,while; during; in this condition,N1
nao,なお,still; yet; furthermore,N2
nara,なら,if; in the case that ~,N4
nara iza shirazu,ならいざしらず,I don’t know about... but ~,N1
nazenara,なぜなら,because; the reason is ~,N3
ni atte,にあって,at; on; during ~,N1
ni itattemo,に至っても,even if something reached the point ~,N1
ni kagirazu,に限らず,not just; not only ~,N2
ni shita tokoro de,にしたところで,even supposing that ~,N1
ni tsurete,につれて,as; in proportion to ~,N3
nimo kakawarazu,にも関わらず,despite; although ~,N2
node,ので,because of; since ~,N5
noni,のに,although; in spite of ~,N4
omake ni,おまけに,what's more; besides,N2
oyobi,及び,as well as; and,N2
saa,さあ,well…,N5
sara ni,さらに,furthermore; again,N3
sate,さて,well; then ~,N3
shi,し,and; and what’s more ~,N4
shikamo,しかも,moreover; furthermore; what’s more ~,N2
shikashi,しかし,but; however ~,N5
sono tame ni,そのために,hence; for that reason ~,N3
sono ue,その上【そのうえ】,besides; in addition; furthermore ~,N2
sore de,それで,because of that,N4
sore demo,それでも,but still; and yet; even so ~,N4
sore kara,それから,and; and then; after that ~,N5
sore na noni,それなのに,and yet; despite this ~,N2
sore nara,それなら,if that’s the case; if so ~,N2
sore ni,それに,besides; in addition ~,N4
soretomo,それとも,or; or else ~,N3
soshite,そして,and; and then; thus ~,N5
sunawachi,すなわち,in other words; namely ~,N3
ta tokoro de,たところで,even if; no matter what ~,N1
tame ni,ために,for; in order to; because of ~,N3
tara,たら,if; after; when ~,N4
tara dou,たらどう,why don't you… (advice),N4
tara ii desu ka,たらいいですか,what should I do? (seeking guidance),N4
tara saigo / taga saigo,たら最後 / たが最後,if you do… a bad outcome will follow,N1
tara~tade,たら〜たで,"if this happens, it happens (resignation)",N1
tara~tokoro da,たら〜ところだ,if… it would be just when ~,N1
tatoeba,例えば【たとえば】,for example; for instance ~,N3
te / de,て / で,conjunctive particle; and; so ~,N4
te demo,てでも,even if I have to ~,N2
to,と,if; when; and; with ~,N4
to areba,とあれば,if it is the case that ~,N1
to atte,とあって,because of ~,N1
to douji ni,と同時に【とどうじに】,at the same time; simultaneously ~,N2
to ie domo,といえども,even if; although ~,N1
to ii / tara ii,といい / たらいい,it would be nice if; I hope ~,N3
to itta,といった,such as; like ~,N2
to ittemo,といっても,although I say; even though ~,N3
to ittemo ii,と言ってもいい,you could say; it's fair to say ~,N4
to iu ka~to iu ka,というか〜というか,or rather; more like; I mean ~,N1
to iu nowa,というのは,this means; because; that is to say ~,N3
to iu to,と言うと,when you say…; speaking of ~,N3
to kiteiru,ときている,especially because; due to this (emphatic),N1
to naru to / to nareba,となると / となれば,when it comes to; if that happens,N1
to sureba / to shitara / to suru to,とすれば / としたら / とすると,if; assuming; in the case of ~,N3
toka (de),とか(で),I heard that ~,N2
toka~toka,とか〜とか,among other things; such as ~,N4
tokoro de,ところで,by the way ~,N3
tokoro ga,ところが,even so; however; even though ~,N3
tokoro o,ところを,although it was ~ (formal/written),N1
towa ie,とはいえ,though; although; be that as it may,N1
tsu~tsu,つ〜つ,and ~ (two contrasting actions),N1
ue wa,上は【うえは】,now that; since; as long as ~,N2
wa dou de are,はどうであれ,however; whatever ~,N1
wa sateoki,はさておき,setting aside ~,N1
wa~ga... wa,は〜が... は,[A] but [B]; contrast/comparison,N4
ya,や,and; or (particle),N5
yue ni,ゆえに,therefore; consequently; due to ~,N1
zu tomo,ずとも,even without doing ~,N1
