文法,Meaning
敢えて(あえて),dare to; daringly; deliberately; purposely ~
あくまでも,to the end; persistently; absolutely; is still very ~
案の定(あんのじょう),just as one thought; as usual; sure enough
あらかじめ,beforehand; in advance; previously
あっての,which can exist solely due to; owes everything to ~
ばこそ,only because ~
ば/たら + それまでだ,if... then it’s over
べからず / べからざる,must not; should not; do not ~
べく,in order to; for the purpose of ~
べくもない,cannot possibly be ~
べくして,as it is bound to (happen)
びる / びて / びた,to seem to be; to appear; to behave as ~
ぶり / っぷり,style; manner; way
ぶる / ぶって / ぶった,behaving like; to pretend / act like ~
だに / だにしない,even; not even ~
だの~だの,and; and the like; and so forth ~
だろうに,"(1) surely..., but ~ (2) should have (regret)"
であれ / であろうと,whoever; whatever; however; even ~
であれ~であれ,whether [A] or [B]
でもあり~でもある,to also be; both... and ~
でも何でもない / くも何ともない,not in the least; nothing like that
でなくてなんだろう,must be; is definitely ~
ではあるまいか,isn't it; I wonder if it’s not ~
ではあるまいし,it’s not like; it isn’t as if ~
では済まない(ではすまない),it doesn’t end with just ~; it will take more than ~
どうにも~ない,not ... by any means
が早いか(がはやいか),no sooner than; as soon as ~
が/も~なら、~も~だ,negative connection/comparison
がましい,look like; sound like; somewhat like ~
がてら,while; at the same time; coincidentally ~
ごとき / ごとく / ごとし,like; as if; the same as ~
ぐるみ,together (with); -wide
羽目になる(はめになる),to get stuck with (something unpleasant)
ほどのことではない,it's not worth; no need to ~
ほうがましだ,better than; would rather ~
放題(ほうだい),doing as one pleases; leaving uncontrolled
いかんだ / いかんによっては,in accordance with; depending on ~
いかんにかかわらず,regardless of; whether or not ~
いかなる,any kind of; every; whatsoever; whatever
いかに,how; in what way; how much; to what extent
いかにも,indeed; really; truly; just (like); very; extremely ~
いずれに + しても/しろ/せよ,anyhow; anyway; either way; in any case ~
じみた,to become; to appear like; to look like ~
か否か(かいなか),whether or not ~
かと思いきや(かとおもいきや),"contrary to expectations; or so we thought, but ~"
限りだ(かぎりだ),to feel strongly
甲斐もなく(かいもなく),despite; even though ~
可能性がある(かのうせいが),may/might; there’s a possibility that ~
からある / からする / からの,at least; as much as; as many as ~
かれ~かれ,sooner or later; more or less
かたがた,while; at the same time; incidentally ~
かたわら,while; besides; at the same time; in addition
かつて,once; before; formerly; ever; former; ex-
嫌いがある(きらいがある),bad habit; to have a tendency to ~
切りがない(きりがない),endless; boundless; there’s no end to ~
きっての,the most / greatest ... of all
極まる(きわまる),extremely; very ~
こそあれ,although; even though ~
こそすれ,and; although; but ~
こそ「~が・けれど」,but; although (emphasis)
ことごとく,altogether; entirely; completely ~
ことこの上ない,the most of all; the best; nothing is more ... than ~
こともあって,partly because; also because of ~
ことなしに,without doing something
ことのないように,so as not to; to not ~
こととて,because; since ~
くらいなら,rather than (do ...)
くらいのものだ,only (emphasis)
までだ / までのことだ,only; just; nothing else
までもない / までもなく,there's no need to; it’s not necessary to ~
まじき,should not; must not ~
まくる,to do over and over again; to do relentlessly
まみれ,covered with; stained; smeared with ~
まるっきり,completely; absolutely; totally; (not) at all ~
めく,seems; show signs of; to have the appearance of ~
も同然だ(もどうぜんだ),just like; same as~
もさることながら,"one may well say so, but~; not only... but also ~"
もしないで,without even doing ~
もはや,already; now; no longer; not anymore
もので,because; for that reason
ものを,if only; I wish; I'm sorry it's not actually (regret)
ものと思われる / ものと見られる,to think; to suppose; it is believed/expected that ~
ものとする,shall; to assume; understood as ~
ものとして,to assume; to suppose; on the presumption that ~
もしくは,or; otherwise
んばかりに,as if; as though ~
んがために,in order to ~
ながらに / ながらの,while; without change
ないまでも,not to say; although it does not reach the level of ~
ないものでもない,is not entirely impossible
ないものか / ないものだろうか,isn't there; can’t we...?; can’t I...?
ないとも限らない(かぎらない),not necessarily; I can't say that; maybe; might ~
なくしては,cannot do without ~
並み(なみ),average; ordinary; equal to; on par with ~
なんという / なんと / なんて,"how (beautiful, etc.); what a ~"
何しろ(なにしろ),anyway; in any case; because; as you know ~
ならでは,distinctive of; uniquely applying to; special to ~
ならいざしらず / はいざしらず,I don't know about ... but ~
なり,as soon as; right after ~
なりに / なりの,suitable; in one's own way/style
なりとも,at least; even just a little (adverbial particle)
なり~なり,[A] or [B] or something; for instance ~
なしに / なしで,without; without doing ~
に,and; in addition to; the combination of ~
に値する(にあたいする),to be worth; to be worthy of; to deserve; to merit ~
にあって,at; on; during; in the condition of ~
に引き換え(にひきかえ),compared to; in contrast to; unlike; whereas ~
に至る / に至った(にいたる),leads to; come to a conclusion
に至るまで(にいたるまで),as far as; up until; everything from ... to ~
に至っても(にいたっても),even if; although something reached the point ~
に至っては(にいたっては),when it comes to; as for ~
に言わせれば(にいわせれば),if you ask; if one may say ~
に限ったことではない (にかぎったことではない),not limited to only ~
にかかっては / にかかったら,"when handled by (N), becomes a different result"
にかかっている,depending on; to depend on; whether or not
にかこつけて,to use as a pretext; to use as an excuse
にかまけて,to be too busy; to focus / concentrate only on ~
に難くない(にかたくない),"easy to do; it’s not hard to (understand, guess)"
にまつわる,to be related to; to concern; associated with ~
に則って(にのっとって),based on; according to; in accordance with ~
に先駆けて(にさきがけて),prior to; to be the first (pioneer); being ahead of ~
に忍びない(にしのびない),cannot bring oneself (to do); unable to bear ~
にしたところで / としたところで,even if; even supposing that ~
にして,"at / on / under certain conditions (time, position)"
に即して(にそくして),according to; in keeping with; to be based on ~
に耐える / に耐えない(にたえる),worth doing; can do; cannot bear doing ~
に足らない (にたらない),cannot; not worthy; not worth doing ~
に足る / に足りる(にたる),can do; worthy; worth doing
に照らして(にてらして),according to; in view of; in light of ~
にとどまらず,not limited to; not only... but also ~
には無理がある(にはむりがある),difficult to do; is unreasonable / impossible
によらず,regardless of ~
に~を重ねて(に~をかさねて),"success after continuous (effort, adjustments)"
にもほどがある,there is a limit to what is acceptable; to go too far
にも増して(にもまして),more than...; above ~
には当たらない(にはあたらない),it’s not worth; there’s no need to ~
には及ばない(にはおよばない),there is no need to; unnecessary; no match for ~
の至り(のいたり),utmost; extremely ~
の極み(のきわみ),utmost; extremely ~
のなんのって,extremely ~ (cannot be expressed in words)
のやら / ものやら / ことやら,I wonder..; unsure; I don’t know ~
のやら~のやら,or ~ (I don't know)
を踏まえて(をふまえて),to be based on; to take into account ~
を経て(をへて),through; by way of; after; via ~
を控えて(をひかえて),to be soon; the time has come to; ahead of ~
をいいことに,to take advantage of ~
を顧みず(をかえりみず),despite; not worrying about; regardless of ~
を限りに(をかぎりに),starting from; the last time (end continued action)
を兼ねて(をかねて),also for the purpose of ~
を皮切りに(をかわきりに),one after another; starting with ~
を機に(をきに),as an opportunity/chance to ~
を禁じ得ない(をきんじえない),can’t help but; can’t refrain from ~
をものともせずに,in defiance of; not losing to / worrying about ~
をもって / をもちまして,by means of; with; on / at / as of (time)
をおいて~ない,"only; can only be; there is no alternative, only ~"
を押して(をおして),to overcome (opposition); to push past ~
を境に(をさかいに),since ~ (indicates a large change before & after)
を余儀なくされる(をよぎなく),forced to do something because no other choice
をよそに,despite; without regards to ~
を前提として(をぜんてい),with the intention to; on the condition ~
思いをする(おもいをする),to think; to feel ~
折に(おりに),when; at the time; on the occasion ~
およそ,about; roughly; generally; completely ~
さ,ending particle; indicates assertion
さも,"really (seem, appear, etc.); truly; as if ~"
さもないと,otherwise; or else; if not ~
さぞ,surely; certainly; no doubt; indeed ~
始末だ(しまつだ),end up; in the end; as a result (negative)
そばから,as soon as; right after ~
そびれる,to miss a chance; to fail to do ~
損なう/損じる(そこなう/そんじる),to do something wrong; miss a chance; fail to ~
術がない(すべがない),there is no way / means; cannot do ~
すら / ですら,even ~ (with emphasis)
た弾みに(たはずみに)/ た拍子に(たひょうしに),"the moment [A], unintentionally / inadvertently caused something to happen"
たことにする / たことになる,pretend to; contrary to the truth ~
たところで,"even if; no matter (who, what, when, where, why, how)"
たつもりはない,have no intention to / didn't mean to ~
ただ~のみだ,all we can do is; can do nothing but; only ~
ためしがない,is never the case; I have never seen or heard of ~
たら/たが + 最後(さいご),if you do... negative result
たら~たで,if / in the case... of course / should ~
たら~ところだ,"if... (counterfactual condition), then would be ~"
たりとも,not even; not any ~
たるもの / たる,(that) which is; in the capacity of ... should ~
て敵わない(てかなわない),can't bear to; unable to; troublesome to ~
てからというもの,ever since ~
てみせる,I’ll do my best; I'll definitely do; I'll show you ~
てしかるべきだ,should; appropriate; it is natural to do ~
て済むことではない(てすむ),~ is not enough to solve the problem
てやまない,always; never stop; can’t help but ~
手前(てまえ),considering; before; in front of; one’s standpoint
てもどうにもならない,it's no use; can't do anything
ても差し支えない(さしつかえない),can ~; it’s okay if ~ (permission / compromise)
ても知らない(てもしらない),if (you) continue... you'll end up / I don't care ...
と相まって(とあいまって),"together with..., more; because of ..., more ~"
とあれば,if it is the case that; if ~
とあって,due to the fact that; because of ~
とばかりに,as if to say; as though~
といえども,even if; even though; despite ~
と言えなくもない(といえ),one can even say that; it can also be said that ~
といい~といい,both ... and; not only ... also; whether it be ... or ~
といったらない,extremely; very; nothing more ... than this
という,all; every single ~ (no exceptions)
というか~というか,or rather; or perhaps I should say; I mean ~
というもの,during; for; since; over a period of time
というところだ,at the most; no more than; at best; roughly ~
というわけだ,that's why; no wonder; it is the case that ~
というわけではない,it’s not that; it doesn’t mean that ~
といわず~といわず,"both; not only A or B, but (overall) ~"
ときている,because of ~
とみると,"as soon as one realizes ..., then ~"
と見るや(とみるや),at the sight of; upon seeing; after confirming ~
となると / となれば,when it comes to; in such a case; if that happens
とされる,is considered to; it is said that ~
ときたら,when it comes to; concerning ~
ところを,although (it is a certain time/condition)
ともあろうものが,of all people... (surprise)
ともなく / ともなしに,somehow; without knowing; without thinking
ともすれば,apt to (do); tend to; liable to; prone to ~
とも~とも,unable to draw a conclusion; unable to judge
とりわけ,especially; above all ~
としたことが,"of all people, who would have thought?"
とっさに,at once; right away; promptly
とて,even; even if/though ~
とは,I didn't know; I was surprised that; the fact that ~
とはいえ,though; although; be that as it may; nonetheless
とは比べものにならない(くらべ),can't compare with ~
とは打って変わって (とはうってかわって),unlike; totally different; very different from ~
つ~つ,and ~ (indicates two contrasting actions)
尽くす(つくす),to use up (completely)
ってば / ったら,speaking of; I told you already (annoyance)
うちに入らない (うちにはいらない),not really; can't be regarded as ~
わ,feminine sentence ending particle
はどうであれ,however; whatever ~
はおろか,let alone; not to mention; needless to say ~
はさておき,setting aside ~
はそっちのけで,ignoring (one thing) for (another); instead of ~
わ〜わで,and (list negative things happening at the same time)
や否や(やいなや),as soon as; the moment ~
やしない,"should do, but don't; there's no way ~"
やれ~やれ,pattern to give 2 representative examples (negative)
ようが / ようと,even if; no matter how/what ~
ようが~ようが / ようと~ようと,no matter; whether; even if [A] or [B]
ようによっては / ようでは,depending on the way; according to how ~
ようにも~ない,even if I wanted to... I couldn’t ~
ようと~まいと / ようが~まいが,whether or not; regardless
ゆえに,therefore; consequently; because of; due to ~
ぞ・ぜ,ending particle; adds force or indicates command
ずじまい,ended up not doing ~
ずには/ないでは + おかない,will definitely do something; cannot not ~
ずには/ないでは + 済まない(ず には/ないでは + すまない),must; will definitely; can’t help but to ~
ずとも,even without doing; even without being ~
ずくめ,completely; entirely; nothing but ~
