文法,Grammar,Meaning
あげく,ageku,to end up; in the end; finally; after all
あるいは,aruiwa,or; either; maybe; perhaps; possibly
ばかり,bakari,"about, approximately"
ばかりだ,bakari da,continue to (go in negative direction)
ばかりか,bakari ka,not only.. but also; as well as
ばかりに,bakari ni,simply because; on account of
ちなみに,chinamini,by the way; incidentally
ちっとも~ない,chitto mo~nai,(not) at all; (not) in the least
だけあって,dake atte,being the case; precisely because
だけましだ,dake mashi da,it’s better than; should feel grateful for
だけに,dake ni,being the case; precisely because
だけのことはある,dake no koto wa aru,as expected of; not for nothing
だけは,dake wa,to do all that one can
だって,datte,because; but; after all; even; too
でしかない,de shika nai,merely; nothing but; no more than
どころではない,dokoro dewa nai,not the time for; far from
どころか,dokoro ka,far from; anything but; let alone
どうやら,dou yara,apparently; seems like; somehow
どうせ,douse,anyhow; in any case; at any rate
得ない,enai,unable to; cannot; it is not possible to~
得る,eru / uru,can; to be able to; is possible to~
再び,futatabi,again; once more
ふうに,fuu ni,this way; that way; in such a way; how
がきっかけで,ga kikkake de,as a result of; taking advantage of
げ,ge,looks like; seems like; appears to
逆に,gyaku ni,conversely; on the contrary
反面,hanmen,"while, although; on the other hand"
果たして,hatashite,as was expected; sure enough; really
一応,ichiou,more or less; pretty much; roughly
以外,igai,with the exception of; excepting
以上に,ijou ni,more than; not less than; beyond
以上は,ijou wa,because; since; seeing that
いきなり,ikinari,abruptly; suddenly; all of a sudden
一気に,ikki ni,in one go; without stopping; all at once
一方で,ippou de,"on one hand, on the other hand"
いわゆる,iwayuru,what is called; as it is called; so-called
いよいよ,iyoiyo,at last; finally; beyond doubt
上,jou,for the sake of; from the standpoint of
かのように,ka no you ni,as if; just like
かと思ったら,ka to omottara,just when; no sooner than
か~ないかのうちに,ka~nai ka no uchi ni,just as; right after; as soon as
かえって,kaette,on the contrary; rather; all the more
限り,kagiri,as long as; while... is the case; as far as
甲斐がある,kai ga aru,it’s worth one’s efforts to do something
かねない,kanenai,(someone) might do something
かねる,kaneru,unable to do something; can’t do~
から言うと,kara iu to,in terms of; from the point of view of
からこそ,kara koso,precisely because
から見ると,kara miru to,from the point of view of; judging from
