Kanji,Onyomi,Kunyomi,Kanji Meaning
党,トウ,なかま、 むら,"party, faction, clique"
協,キョウ,,"co-, cooperation"
総,ソウ,すべ(て)、 ふさ,"general, whole, all"
区,ク,,"ward, district"
領,リョウ,えり,"jurisdiction, dominion"
県,ケン,か(ける),prefecture
設,セツ,もう(ける),"establishment, provision"
保,ホ、ホウ,たも(つ),"protect, guarantee, keep"
改,カイ,あらた(める),"reformation, change, modify"
第,ダイ,,"No., number"
結,ケツ,むす(ぶ)、ゆ(う),"tie, bind, contract"
派,ハ,,"faction, group, party"
府,フ,,"borough, urban prefecture, govt office"
査,サ,,investigate
委,イ,ゆだ(ねる),"committee, entrust to"
軍,グン,いくさ,"army, force, troops"
案,アン,つくえ,"plan, suggestion, draft"
策,サク,,"scheme, plan, policy"
団,ダン、トン,かたまり、 まる(い),"group, association"
各,カク,おのおの,each; every; either
島,トウ,しま,island
革,カク,かわ,leather; skin; reform; become serious
村,ソン,むら,village; town
勢,セイ,いきお(い),forces; energy; military strength
減,ゲン,へ(る),dwindle; decrease; reduce
再,サイ、 サ,ふたた(び),"again, twice, second time"
税,ゼイ,,tax; duty
営,エイ,いとな(む),occupation; perform; build; conduct (business)
比,ヒ,くら(べる),compare; race; ratio
防,ボウ,ふせ(ぐ),ward off; defend; protect; resist
補,ホ,おぎな(う),supplement; supply; offset; compensate
境,キョウ,さかい,"boundary, border, region"
導,ドウ,みちび(く),guidance; leading; conduct; usher
副,フク,,vice-; assistant; aide; duplicate; copy
算,サン,そろ,calculate; divining; number; probability
輸,ユ、 シュ,,"transport, send, be inferior"
述,ジュツ,の(べる),mention; state; speak
線,セン,すじ,line; track
農,ノウ,,agriculture; farmers
州,シュウ,す,state; province
武,ブ、 ム,たけ(し),warrior; military; chivalry; arms
象,ショウ、 ゾウ,かたど(る),elephant; pattern after; image; shape
域,イキ,,range; region; limits; stage; level
額,ガク,ひたい,forehead; tablet; sum; amount; volume
欧,オウ,うた(う)、 は(く),Europe
担,タン,かつ(ぐ)、 にな(う),shouldering; carry; raise; bear
準,ジュン,じゅん(じる)、なぞら(える),semi-; correspond to; imitate
賞,ショウ,ほ(める),prize; reward; praise
辺,ヘン,あた(り)、 ほと(り),environs; boundary; border; vicinity
造,ゾウ,つく(る),create; make; structure; physique
被,ヒ,こうむ(る)、 かぶ(る),incur; cover; shelter; wear; put on
技,ギ,わざ,skill; art; craft; ability; vocation; arts
低,テイ,ひく(い),lower; short; humble
復,フク,また,"restore, return to, revert"
移,イ,うつ(る),"shift, move, change"
個,コ,,individual; counter for articles
門,モン,かど、 と,gate
