Kanji,Kanji Meaning,Onyomi Romaji,Onyomi Kana,Kunyomi Romaji,Kunyomi Kana
政,"politics, government",sei,セイ,matsurigoto,まつりごと
議,"deliberation, consultation, debate",gi,ギ,,
民,"people, nation, subjects",min,ミン,tami,たみ
連,"take along, lead, join, connect",ren,レン,"tsura(naru), tsu(reru)","つら(なる), つ(れる)"
対,"opposite, even, equal, versus, anti-, compare","tai, tsui","タイ, ツイ",,
部,"section, bureau, dept, class, copy, part, portion",bu,ブ,,
合,"fit, suit, join, 0.1","gou, ga, ka","ゴウ, ガッ, カッ","a(u), ai","あ(う), あい"
市,"market, city, town",shi,シ,ichi,いち
内,"inside, within, between, among, house, home",nai,ナイ,uchi,うち
相,"inter-, mutual, together, minister of state","sou, shou","ソウ, ショウ",ai,あい
定,"determine, fix, establish, decide","tei, jou","テイ, ジョウ",sada(meru),さだ(める)
回,"-times, round, revolve, counter",kai,カイ,mawa(su),まわ(す)
選,"elect, select, choose, prefer",sen,セン,era(bu),えら(ぶ)
米,"rice, USA, meter","bei, mai","ベイ, マイ",kome,こめ
実,"reality, truth",jitsu,ジツ,"mi, mino(ru), makoto","み, みの(る), まこと"
関,"connection, gateway, involve, concerning",kan,カン,"seki, kaka(waru)","せき, かか(わる)"
決,"decide, fix, agree upon, appoint",ketsu,ケツ,ki(meru),き(める)
全,"whole, entire, all, complete, fulfill",zen,ゼン,"matta(ku), sube(te)","まった(く), すべ(て)"
表,"surface, table, chart, diagram",hyou,ヒョウ,"omote, arawa(su)","おもて, あらわ(す)"
戦,"war, battle, match",sen,セン,"ikusa, tataka(u)","いくさ, たたか(う)"
経,"longitude, pass thru, expire, warp",kei,ケイ,"he(ru), ta(tsu)","へ(る), た(つ)"
最,"utmost, most, extreme",sai,サイ,motto(mo),もっと(も)
現,"present, existing, actual",gen,ゲン,"arawa(reru), utsu(tsu)","あらわ(れる), うつ(つ)"
調,"tune, tone, meter, prepare, investigate",chou,チョウ,"shira(beru), tono(u)","しら(べる), ととの(う)"
化,"change, take the form of, influence, -ization","ka, ke","カ, ケ","ba(keru), fu(keru)","ば(ける), ふ(ける)"
当,"hit, right, appropriate",tou,トウ,a(taru),あ(たる)
約,"promise, approximately, shrink",yaku,ヤク,tsuzu(maru),つづ(まる)
首,neck,shu,シュ,kubi,くび
法,"method, law, rule, principle, model, system",hou,ホウ,nori,のり
性,"sex, gender, nature","sei, shou","セイ, ショウ",,
的,"mark, target, object, adjective ending",teki,テキ,,
要,"need, main point, essence, pivot",you,ヨウ,"i(ru), kaname","い(る), かなめ"
制,"system, law, rule",sei,セイ,,
治,"reign, cure, heal","ji, chi","ジ, チ","osa(meru), nao(ru)","おさ(める), なお(る)"
務,"task, duties",mu,ム,tsuto(meru),つと(める)
成,"turn into, become, get, grow, elapse","sei, jou","セイ, ジョウ",na(ru),な(る)
期,"period, time, date, term","ki, go","キ, ゴ",,
取,"take, fetch",shu,シュ,to(ru),と(る)
都,"metropolis, capital","to, tsu","ト, ツ",miyako,みやこ
和,"harmony, Japanese style, peace","wa, o","ワ, オ","yawa(ragu), nago(mu)","やわ(らぐ), なご(む)"
機,"machine, airplane, opportunity",ki,キ,,
平,"even, flat, peace","hei, byou","ヘイ, ビョウ","tai(ra), hira","たい(ら), ひら"
加,"add, addition, increase, join",ka,カ,kwa(eru),くわ(える)
受,"accept, undergo, answer (phone), take",ju,ジュ,u(keru),う(ける)
続,"continue, series, sequel",zoku,ゾク,tsuzuku,つづ(く)
進,"advance, proceed",shin,シン,susu(mu),すす(む)
数,"number, strength, fate, law, figures",suu,スウ,"kazu, kazo(eru)","かず, かぞ(える)"
記,"scribe, account, narrative",ki,キ,shiru(su),しる(す)
初,"first time, beginning",sho,ショ,"haji(me), hatsu","はじ(め), はつ"
指,"finger, point to, indicate",shi,シ,"yubi, sa(su)","ゆび, さ(す)"
権,"authority, power, rights",ken,ケン,,
支,"branch, support, sustain",shi,シ,sasa(eru),ささ(える)
産,"products, bear, give birth",san,サン,"u(mu), mu(su)","う(む), む(す)"
点,"spot, point, mark",ten,テン,tsu(keru),つ(ける)
報,"report, news, reward",hou,ホウ,mukku(iru),むく(いる)
済,"settle, relieve, finish","sai, sei","サイ, セイ",su(mu),す(む)
活,living,katsu,カツ,i(kiru),い(きる)
原,"original, primitive, field",gen,ゲン,hara,はら
共,"together, both, neither",kyou,キョウ,tomo,とも
得,"gain, get, find, earn, acquire, able to, profit",toku,トク,e(ru),え(る)
解,"unravel, explanation","kai, ge","カイ, ゲ","to(ku), hodo(ku)","と(く), ほど(く)"
交,"mingle, mixing, association",kou,コウ,"maji.waru, ma.zeru, ka.wasu","まじ(わる), ま(ぜる), か(わす)"
資,"assets, resources, capital, funds, data",shi,シ,,
予,"beforehand, previous, myself, I","yo, sha","ヨ, シャ",arakaji(me),あらかじ(め)
向,"facing, beyond",kou,コウ,"mu(ku), muka(i)","む(く), むか(い)"
際,"occasion, time",sai,サイ,kiwa,きわ
勝,"victory, win",shou,ショウ,"ka(tsu), masa(ru)","か(つ), まさ(る)"
面,"mask, face, features, surface",men,メン,"omo, omote, tsura","おも, おもて, つら"
告,"revelation, inform",koku,コク,tsu(geru),つ(げる)
反,anti-,"han, hon, tan, ho","ハン, ホン, タン, ホ","so(ru), kae(su)","そ(る), かえ(す)"
判,"judgement, signature",han,ハン,,
認,"acknowledge, witness, recognize",nin,ニン,"mito(meru), shitata(meru)","みと(める), したた(める)"
参,"going, coming, participate",san,サン,mai(ru),まい(る)
利,"profit, advantage, benefit",ri,リ,ki(ku),き(く)
組,"association, assemble, unite",so,ソ,"ku(mu), kumi","く(む), くみ"
信,"faith, truth, trust",shin,シン,,
在,"exist, outskirts",zai,ザイ,a(ru),あ(る)
件,"affair, case, matter",ken,ケン,kudan,くだん
側,"side, lean, oppose",soku,ソク,"gawa, soba","がわ, そば"
任,"responsibility, duty",nin,ニン,maka(seru),まか(せる)
引,"pull, tug, jerk",in,イン,hi(ku),ひ(く)
求,"request, want, demand",kyuu,キュウ,moto(meru),もと(める)
所,"place, extent",sho,ショ,tokoro,ところ
次,"next, order","ji, shi","ジ, シ","tsu(gu), tsugi","つ(ぐ), つぎ"
昨,"yesterday, previous",saku,サク,,
論,"argument, discourse",ron,ロン,agetsura(u),あげつら(う)
官,"bureaucrat, the government, organ",kan,カン,,
増,"increase, add",zou,ゾウ,"ma(su), fu(eru)","ま(す), ふ(える)"
係,"person in charge, connection",kei,ケイ,"kaka(ru), kakari","かか(る), かかり"
感,"emotion, feeling, sensation",kan,カン,,
情,"feelings, emotion, passion","jou, sei","ジョウ, セイ",nasa(ke),なさ(け)
投,"throw, discard",tou,トウ,na(geru),な(げる)
示,"show, indicate, display","ji, shi","ジ, シ",shime(su),しめ(す)
変,"unusual, change, strange",hen,ヘン,ka(waru),か(わる)
打,"strike, hit, knock",da,ダ,"u(tsu), bu(tsu)","う(つ), ぶ(つ)"
直,"straightaway, honesty, frankness, fix, repair","choku, jiki","チョク, ジキ","tada(chini), su(gu)","ただ(ちに), す(ぐ), なお, (す)"
両,both,ryou,リョウ,futatsu,ふたつ
式,"style, ceremony",shiki,シキ,,
確,"assurance, firm, confirm",kaku,カク,tashi(ka),たし(か)
果,"fruit, reward, carry out, achieve, complete",ka,カ,ha(tasu),は(たす)
容,"contain, form",you,ヨウ,i(reru),い(れる)
必,"invariably, certain, inevitable",hitsu,ヒツ,kanara(zu),かなら(ず)
演,"performance, act, play, render, stage",en,エン,,
歳,"age, year-end","sai, sei","サイ, セイ",toshi,とし
争,"contend, dispute, argue",sou,ソウ,araso(u),あらそ(う)
談,"discuss, talk",dan,ダン,,
能,"ability, talent, skill, capacity",nou,ノウ,,
位,"rank, grade, about",i,イ,"kurai, gurai","くらい, ぐらい"
置,"placement, put, set, deposit, leave behind",chi,チ,o(ku),お(く)
流,"current, flow","ryuu, ru","リュウ, ル",naga(reru),なが(れる)
格,"status, rank, capacity","kaku, kou, kyaku","カク, コウ, キャク",,
疑,"doubt, distrust",gi,ギ,utaga(u),うたが(う)
過,"overdo, exceed, go beyond",ka,カ,"su(giru), yogi(ru)","す(ぎる), よぎ(る)"
局,"bureau, board, office",kyoku,キョク,,
放,"set free, release",hou,ホウ,"hana(su), hou(ru)","はな(す), ほう(る)"
常,"usual, ordinary, normal",jou,ジョウ,tsune,つね
状,"conditions, form, appearance",jou,ジョウ,,
球,"ball, sphere",kyuu,キュウ,tama,たま
職,"post, employment, work",shoku,ショク,,
与,"give, award",yo,ヨ,"ata(eru), azuka(ru)","あた(える), あずか(る)"
供,"submit, offer, present, accompany","kyou, ku, kuu","キョウ, ク, クウ","sona(eru), tomo","そな(える), とも"
役,"duty, service, role","yaku, eki","ヤク, エキ",,
構,"posture, build, pretend",kou,コウ,kama(u),かま(う)
割,"proportion, divide, cut, separate",katsu,カツ,"wa(ru), wari","わ(る), わり"
身,"somebody, person",shin,シン,mi,み
費,"expense, consume",hi,ヒ,tsui(yasu),つい(やす)
付,"adhere, attach, refer to",fu,フ,tsu(keru),つ(ける)
由,"wherefore, a reason","yu, yuu","ユ, ユウ","yoshi, yo(ru)","よし, よ(る)"
説,"opinion, theory, explanation","setsu, zei","セツ, ゼイ",to(ku),と(く)
難,"difficult, trouble, accident",,ナン,"kata(i), muzuka(shii), niku(i)","かた.い, むずか.しい, にく.い"
優,"tenderness, kind, actor","yuu, u","ユウ, ウ","yasa(shii), sugu(reru)","やさ(しい), すぐ(れる)"
夫,"husband, man",fu,フ,otto,おっと
