Grammar,Romaji,Meaning
間,aida,while; during; between
間に,aida ni,while/during~ something happened
あまり~ない,amari~nai,"not very, not much"
後で,ato de,after ~; later
ば,ba,"if [A], then [B] (conditional form)"
場合は,baai wa,in the event of; in the case that
ばかり,bakari,only; nothing but
だけで,dake de,just by; just by doing
出す,dasu,to suddenly begin; to suddenly appear
でございます,de gozaimasu,to be (honorific)
でも,demo,… or something
ではないか,dewa nai ka,right?; isn’t it?
が必要,ga hitsuyou,need; necessary
がする,ga suru,to smell; hear; taste
がり,gari,tendency toward; personality
がる・がっている,garu; gatteiru,to appear; to show signs of
ございます,gozaimasu,to be (polite form of いる/ある)
始める,hajimeru,to start; to begin to ~
はずだ,hazu da,it must be; it should be
はずがない,hazu ga nai,cannot be; there’s no way
必要がある,hitsuyou ga aru,need to; it is necessary to
意向形,ikou kei,volitional form (let’s do ~)
いらっしゃる,irassharu,"to go, to come, to be (honorific)"
いたします,itashimasu,to do (humble form of する)
じゃないか,janai ka,right? isn’t it? let’s ~
かどうか,ka dou ka,whether or not
かしら,ka shira,"I wonder (casual, often feminine)"
かい,kai,yes/no question marker (casual)
かもしれない,kamo shirenai,might; perhaps; indicates possibility
かな,kana,I wonder; should I?
から作る,kara tsukuru,made from; made with
きっと,kitto,surely; almost certainly
頃,koro / goro,around; about; when
こと,koto,verb nominalizer (turns verb into noun)
ことがある,koto ga aru,there are times when; have done before
ことができる,koto ga dekiru,can; able to
ことになる,koto ni naru,it turns out that; has been decided that
ことにする,koto ni suru,to decide on
くする,ku suru,to make something ~ (change in state)
急に,kyuu ni,suddenly
までに,made ni,by (a time); before (deadline)
まま,mama,as it is; without changing
または,matawa,or; otherwise
みたいだ,mitai da,like; similar to; appears
みたいな,mitai na,like (used before a noun)
みたいに,mitai ni,like (used before a verb or adjective)
も,mo,also; too
な,na,don’t do ~ (casual command)
など,nado,such as; things like
ながら,nagara,while; as; simultaneously
なかなか~ない,nakanaka~nai,not easily; hard to
なければいけない,nakereba ikenai,must do; have to
なければならない,nakereba naranai,must do; have to
なら,nara,if; in the case that
なさい,nasai,do this (firm but polite command)
なさる,nasaru,to do (honorific)
に気がつく,ni ki ga tsuku,to notice; to realize
にみえる,ni mieru,to seem; to look like
にする,ni suru,to make something ~; to decide on
にくい,nikui,difficult to do
の中で,no naka de,among; within
のに (1),noni,although; even though
のに (2),noni,in order to; to do (something)
のは〜だ,nowa~da,the reason for ~ is ~
お〜ください,o~kudasai,please do ~ (honorific)
お〜になる,o~ni naru,honorific polite verb form
おきに,oki ni,"every (e.g., every 2 days)"
終わる,owaru,to end; to finish
られる,rareru,potential/passive form
らしい,rashii,it seems that; apparently
さ,sa,-ness (nominalizer for adjectives)
さっき,sakki,a little while ago
させられる,saserareru,causative-passive (to be made to do something)
させる,saseru,to make/let someone do
させてください,sasete kudasai,please let me do
さすが,sasuga,as expected; indeed
し,shi,and; also; gives multiple reasons
そんなに,sonna ni,so much; to that extent
それでも,sore demo,even so; nevertheless
そうだ (1),sou da,I heard that ~ (hearsay)
そうだ (2),sou da,it looks like ~ (appearance)
そうに・そうな,sou ni / sou na,appears; seems like
たばかり,ta bakari,just did something
たところ,ta tokoro,just finished doing
他動詞 & 自動詞,tadoushi & jidoushi,transitive and intransitive verbs
たがる,tagaru,third person wants to do
たら,tara,if ~; when ~
たらどう,tara dou,why don’t you ~?
たらいいですか,tara ii desu ka,what should I do?
て/で,te / de,linking particle
てあげる,te ageru,to do something for someone
てほしい,te hoshii,I want you to ~
ていく,te iku,to go on doing something
ていた,te ita,was doing ~ (past continuous)
ていただけませんか,te itadakemasen ka,could you please (very polite)
てくれる,te kureru,to do something for me
てくる,te kuru,to do and come back
てみる,te miru,try doing
てもらう,te morau,to receive a favor
ておく,te oku,do something in advance
てしまう / ちゃう,te shimau / chau,to do something completely; accidentally
てすみません,te sumimasen,I’m sorry for doing ~
てやる,te yaru,to do for (casual)
てよかった,te yokatta,I’m glad that I did ~
ているところ,te iru tokoro,in the middle of doing something
ても,temo,even if ~
と,to,if ~; when ~; whenever ~ happens
と言ってもいい,to ittemo ii,you could say ~
という,to iu,called; named; that ~
ということ,to iu koto,nominalizer (turns phrase into noun)
と言われている,to iwarete iru,it is said that ~
と聞いた,to kiita,I heard that ~
と思う,to omou,I think that ~
とか~とか,toka~toka,such as ~ and ~; among other things
ところ,tokoro,time; place; in the process of
続ける,tsuzukeru,to continue ~
って,tte,quoting particle (casual)
受身形,ukemi kei,passive form
は〜が… は,wa ~ ga… wa,topic and subject emphasis
やすい,yasui,easy to ~; likely to ~
やっと,yatto,finally; at last
より,yori,more than ~; rather than ~
予定だ,yotei da,plan to ~; scheduled to ~
ようだ,you da,it appears that ~; seems like ~
ように,you ni,so that ~; in order to ~
ようになる,you ni naru,to come to be ~; to reach the point ~
ようにする,you ni suru,to make an effort to ~
ようと思う,you to omou,I think I’ll ~; I plan to ~
ぜひ,zehi,by all means; definitely
全然~ない,zenzen~nai,not at all; completely not
づらい,zurai,hard to do; painful to do
