日本語,Romaji,Meaning
アフリカ,afurika,Africa
アジア,ajia,Asia
アクセサリー,akusesarii,accessory
アメリカ,amerika,America
アナウンサー,anaunsaa,announcer
アルバイト,arubaito,part-time job
アルコール,arukooru,alcohol
ベル,beru,bell
ビル,biru,building
チェック,chekku,to check
エスカレーター,esukareetaa,escalator
ファックス,fakkusu,fax
ガラス,garasu,a glass
ガソリン,gasorin,gasoline; petrol
ガソリンスタンド,gasorin sutando,petrol station
ガス,gasu,petrol
ごみ,gomi,rubbish
ハンドバッグ,handobaggu,handbag
ジャム,jamu,jam
カーテン,kaaten,curtain
ケーキ,keeki,cake
コンピュータ,konpyuuta,computer
コンサート,konsaato,concert
オートバイ,ootobai,motorcycle
パート,paato,part; part time
ピアノ,piano,piano
プレゼント,purezento,present; gift
レジ,reji,cashier
サンダル,sandaru,sandal
サンドイッチ,sandoicchi,sandwich
サラダ,sarada,salad
ソフト,sofuto,soft
スクリーン,sukuriin,screen
スーツケース,sustsukeesu,suitcase
ステーキ,suteeki,steak
ステレオ,sutereo,stereo
スーツ,suutsu,suit
タイプ,taipu,"type,style"
テニス,tenisu,tennis
ワープロ,waapuro,word processor
