日本語,Romaji,Meaning
ば,ba,conditional form; If [A] then [B]
ばかり,bakari,only; nothing but~
でも,demo,... or something; how about~
かしら,ka shira,I wonder~
かい,kai,turns a sentence into a yes/no ?
かな,kana,I wonder; should I?
も,mo,as many as; as much as; nearly~
な,na,don’t ~ (order somebody to not do)
など,nado,"such as, things like~"
ながら,nagara,while; during; as; simultaneously
なら,nara,if; in the case that~
のに,noni,"although, in spite of, even though~"
のに,noni,to (do something); in order to~
のは〜だ,nowa~da,[A] is [B]; the reason for [A] is [B]
し,shi,and; and what’s more; emphasis~
たばかり,ta bakari,just finished/occurred
たら,tara,if; after; when~
て/で,te / de,"conjunction; so; because of [A], [B]~"
ても,temo,even; even if; even though~
と,to,"whenever [A] happens, [B] ~"
という,to iu,called; named; that~
とか~とか,toka~toka,among other things; such as; like~
って,tte,named; called~
より,yori,than; rather than; more than~
