Kanji,Furigana,Meaning,ます form,て form,Volitional form,Conditional (ば) form,Potential,Passive,Causative
上がる,あがる,to rise,上がり,上がって,上がろう,上がれば,上がれる,上がられる,上がらせる
挨拶する,あいさつする,to greet,挨拶し,挨拶して,挨拶しよう,挨拶すれば,挨拶できる,挨拶される,挨拶させる
案内する,あんないする,to guide,案内し,案内して,案内しよう,案内すれば,案内できる,案内される,案内させる
安心する,あんしんする,to feel peace of mind; to relax,安心し,安心して,安心しよう,安心すれば,安心できる,安心される,安心させる
アルバイトする,アルバイトする,to work a part-time job,アルバイトし,アルバイト して,アルバイト しよう,アルバイト すれば,アルバイト できる,アルバイト される,アルバイト させる
集まる,あつまる,gather; accumulate,集まり,集まって,集まろう,集まれば,集まれる,集まられる,集まらせる
集める,あつめる,"gather;
  pull together",集め,集めて,集めよう,集めれば,集められる,集められる,集めさせる
謝る,あやまる,to apologize,謝り,謝って,謝ろう,謝れば,謝れる,謝られる,謝らせる
貿易する,ぼうえきする,to trade,貿易し,貿易して,貿易しよう,貿易すれば,貿易できる,貿易される,貿易させる
チェックする,チェックする,to check,チェック し,チェック して,チェック しよう,チェック すれば,チェック できる,チェック される,チェック させる
注意する,ちゅういする,to caution; to warn,注意し,注意して,注意しよう,注意すれば,注意できる,注意される,注意させる
注射する,ちゅうしゃする,to inject,注射し,注射して,注射しよう,注射すれば,注射できる,注射される,注射させる
暖房する,だんぼうする,to heat,暖房し,暖房して,暖房しよう,暖房すれば,暖房できる,暖房される,暖房させる
遠慮する,えんりょする,to be reserved,遠慮し,遠慮して,遠慮しよう,遠慮すれば,遠慮できる,遠慮される,遠慮させる
選ぶ,えらぶ,to choose,選び,選んで,選ぼう,選べば,選べる,選ばれる,選ばせる
ファックスする,ファックスする,to fax,ファックス し,ファックス して,ファックス しよう,ファックス すれば,ファックス できる,ファックス される,ファックス させる
増える,ふえる,to increase,増え,増えて,増えよう,増えれば,増えられる,増えられる,増えさせる
復習する,ふくしゅうする,to review,復習し,復習して,復習しよう,復習すれば,復習できる,復習される,復習させる
踏む,ふむ,to step on,踏み,踏んで,踏もう,踏めば,踏める,踏まれる,踏ませる
降り出す,ふりだす,to start to rain,振り出し,振り出して,振り出そう,振り出せば,振り出せる,振り出される,振り出させる
太る,ふとる,to become fat,太り,太って,太ろう,太れば,太れる,太られる,太らせる
原因する,げんいんする,"to cause;
  be caused by",原因し,原因して,原因しよう,原因すれば,原因できる,原因される,原因させる
下宿する,げしゅくする,to lodge,下宿し,下宿して,下宿しよう,下宿すれば,下宿できる,下宿される,下宿させる
ごちそうする,ごちそうする,to treat (meal),ごちそう し,ごちそう して,ごちそう しよう,ごちそう すれば,ごちそう できる,ごちそう される,ごちそう させる
ご覧になる,ごらんになる,(respectful) to see,ご覧になり,ご覧になって,ご覧になろう,ご覧になれば,ご覧になれる,ご覧に なられる,ご覧に ならせる
拝見する,はいけんする,to see; look at,拝見し,拝見して,拝見しよう,拝見すれば,拝見できる,拝見される,拝見させる
運ぶ,はこぶ,to carry,運び,運んで,運ぼう,運べば,運べる,運ばれる,運ばせる
花見する,はなみする,to do flower viewing,花見し,花見して,花見しよう,花見すれば,花見できる,花見される,花見させる
反対する,はんたいする,to oppose,反対し,反対して,反対しよう,反対すれば,反対できる,反対される,反対させる
払う,はらう,to pay,払い,払って,払おう,払えば,払える,払われる,払わせる
発音する,はつおんする,to pronounce,発音し,発音して,発音しよう,発音すれば,発音できる,発音される,発音させる
返事する,へんじする,to reply; answer,返事し,返事して,返事しよう,返事すれば,返事できる,返事される,返事させる
冷える,ひえる,to grow cold,冷え,冷えて,冷えよう,冷えれば,冷えられる,冷えられる,冷えさせる
光る,ひかる,to shine,光り,光って,光ろう,光れば,光れる,光られる,光らせる
引き出す,ひきだす,to withdraw,引き出し,引き出して,引き出そう,引き出せば,引き出せる,引き出される,引き出させる
引っ越す,ひっこす,to move house,引っ越し,引っ越して,引っ越そう,引っ越せば,引っ越せる,引っ越される,引っ越させる
開く,ひらく,to open; to unseal,開き,開いて,開こう,開けば,開ける,開かれる,開かせる
拾う,ひろう,to pick up,拾い,拾って,拾おう,拾えば,拾える,拾われる,拾わせる
褒める,ほめる,to praise,褒め,褒めて,褒めよう,褒めれば,褒められる,褒められる,褒めさせる
翻訳する,ほんやくする,to translate,翻訳し,翻訳して,翻訳しよう,翻訳すれば,翻訳できる,翻訳される,翻訳させる
放送する,ほうそうする,to broadcast,放送し,放送して,放送しよう,放送すれば,放送できる,放送される,放送させる
いじめる,いじめる,to tease,いじめ,いじめて,いじめよう,いじめれば,いじめられる,いじめられる,いじめさせる
意見する,いけんする,to give opinion,意見し,意見して,意見しよう,意見すれば,意見できる,意見される,意見させる
生きる,いきる,to live,生き,生きて,生きよう,生きれば,生きられる,生きられる,生きさせる
祈る,いのる,to pray,祈り,祈って,祈ろう,祈れば,祈れる,祈られる,祈らせる
急ぐ,いそぐ,to hurry; to rush,急ぎ,急いで,急ごう,急げば,急げる,急がれる,急がせる
頂く,いただく,(humble) to receive,頂き,頂いて,頂こう,頂けば,頂ける,頂かれる,頂かせる
致す,いたす,(humble) to do,致し,致して,致しよう,致せば,致せる,致される,致させる
準備する,じゅんびする,to prepare,準備し,準備して,準備しよう,準備すれば,準備できる,準備される,準備させる
変える,かえる,to change; to transform,変え,変えて,変えよう,変えれば,変えられる,変えられる,変えさせる
会議する,かいぎする,meeting; conference,会議し,会議して,会議しよう,会議すれば,会議できる,会議される,会議させる
会話する,かいわする,conversation,会話し,会話して,会話しよう,会話すれば,会話できる,会話される,会話させる
構う,かまう,to mind,構い,構って,構おう,構えば,構える,構われる,構わせる
噛む,かむ,to bite; to chew,噛み,噛んで,噛もう,噛めば,噛める,噛まれる,噛ませる
考える,かんがえる,to think,考え,考えて,考えよう,考えれば,考えられる,考えられる,考えさせる
関係する,かんけいする,to be related to,関係し,関係して,関係しよう,関係すれば,関係できる,関係される,関係させる
片付ける,かたづける,to tidy up,片付け,片付けて,片付けよう,片付ければ,片付けられる,片付けられる,片付けさせる
勝つ,かつ,to win,勝ち,勝って,勝とう,勝てば,勝てる,勝たれる,勝たせる
乾く,かわく,to get dry,乾き,乾いて,乾こう,乾けば,乾ける,乾かれる,乾かせる
変わる,かわる,to change,変わり,変わって,変わろう,変われば,変われる,変わられる,変わらせる
通う,かよう,to commute,通い,通って,通おう,通えば,通える,通われる,通わせる
飾る,かざる,to decorate,飾り,飾って,飾ろう,飾れば,飾れる,飾られる,飾らせる
怪我する,けがする,to injure,怪我し,怪我して,怪我しよう,怪我すれば,怪我できる,怪我される,怪我させる
計画する,けいかくする,to plan,計画し,計画して,計画しよう,計画すれば,計画できる,計画される,計画させる
経験する,けいけんする,to experience,経験し,経験して,経験しよう,経験すれば,経験できる,経験される,経験させる
見物する,けんぶつする,to sightsee/ visit,見物し,見物して,見物しよう,見物すれば,見物できる,見物される,見物させる
喧嘩する,けんかする,to quarrel,喧嘩し,喧嘩して,喧嘩しよう,喧嘩すれば,喧嘩できる,喧嘩される,喧嘩させる
研究する,けんきゅうする,research,研究し,研究して,研究しよう,研究すれば,研究できる,研究される,研究させる
聞こえる,きこえる,to be heard; to be said,聞こえ,聞こえて,聞こえよう,聞こえれば,聞こえられる,聞こえられる,聞こえさせる
決まる,きまる,to be decided,決まり,決まって,決まろう,決まれば,決まれる,決まられる,決まらせる
決める,きめる,to decide,決め,決めて,決めよう,決めれば,決められる,決められる,決めさせる
込む,こむ,to be crowded,込み,込んで,込もう,込めば,込める,込まれる,込ませる
