Kanji,Furigana,Meaning
安心,あんしん,relief; peace of mind
安全,あんぜん,safety; security​
大事,だいじ,important; serious; crucial
不便,ふべん,inconvenient
複雑,ふくざつ,complexity; complication
反対,はんたい,opposition
変,へん,strange; peculiar; weird
久しぶり,ひさしぶり,after a long time
いっぱい,–,full
一生懸命,いっしょうけんめい,very hard; with utmost effort
自由,じゆう,freedom
十分,じゅうぶん,enough; sufficient; plenty
簡単,かんたん,simple; easy
危険,きけん,dangerous
急,きゅう,sudden; abrupt; unexpected
無理,むり,impossible
盛ん,さかん,popularity; prosperous
親切,しんせつ,kind
たいてい,–,usually
楽しみ,たのしみ,looking forward to​
丁寧,ていねい,polite
適当,てきとう,suitable
特別,とくべつ,special; particular; extraordinary
残念,ざんねん,regrettable; unfortunate
