日本語,かな,Romaji,Meaning
ちょっと,,chotto,a little
丁度,ちょうど,choudo,exactly
大丈夫,だいじょうぶ,daijoubu,OK; okay; alright
だんだん,,dandan,gradually
どう,,dou,how (about); in what way
どうも,,doumo,much (thanks); very (sorry)
どうして,,doushite,why; for what reason
どうぞ,,douzo,please
初めて,はじめて,hajimete,for the first time
一人,ひとり,hitori,by oneself; alone
一番,いちばん,ichiban,"number one; 1st, best; most"
いかが,,ikaga,how about; in what way
いくら,,ikura,how much?; how many?
いくつ,,ikutsu,"how many?, how old?"
色々,いろいろ,iroiro,various
一緒に,いっしょに,issho ni,together
いつも,,itsumo,always; usually
結構,けっこう,kekkou,"splendid, enough"
まだ,,mada,still; not yet
まだ~ていません,,mada ~te imasen,have not yet~
前に,まえに,mae ni,before; in front of~
真っ直ぐ,まっすぐ,massugu,"straight ahead, direct"
みんな,,minna,all; everyone; everybody
もっと,,motto,more; longer; further
もう,,mou,already; anymore; again
何故,なぜ,naze,why; how
同じ,おなじ,onaji,same
直ぐに,すぐに,sugu ni,immediately; instantly
少し,すこし,sukoshi,a little (bit); few;
多分,たぶん,tabun,perhaps; probably
大変,たいへん,taihen,very; greatly; terribly
時々,ときどき,tokidoki,sometimes; at times
とても,,totemo,very; exceedingly
よく,,yoku,"often, well"
ゆっくり,,yukkuri,slowly
