Grammar Point,Romaji,Meaning
ちゃいけない,cha ikenai / ja ikenai,must not do (spoken Japanese)
だ・です,da / desu,"to be (am, is, are, were, used to)"
だけ,dake,only; just; as much as
だろう,darou,I think; it seems; probably; right?
で,de,in; at; on; by; with; via
でも,demo,but; however
でしょう,deshou,I think; it seems; probably; right?
どんな,donna,what kind of; what sort of
どうして,doushite,why; for what reason
どうやって,douyatte,how; in what way; by what means
が,ga,subject marker; however; but
があります,ga arimasu,there is; is (non-living things)
がほしい,ga hoshii,to want something
がいます,ga imasu,there is; to be; is (living things)
ほうがいい,hou ga ii,had better; it'd be better to; should~
い-adjectives,i-adjectives,i-adjectives
一番,ichiban,the most; the best
一緒に,issho ni,together
いつも,itsumo,always; usually; habitually
じゃない,janai / dewa nai,to not be (am not; is not; are not)
か,ka,question particle
か~か,ka~ka,or
から,kara,because; since; from
方,kata,way of doing something; how to do
けど,kedo,but; however; although
けれども,keredo mo,but; however; although
まだ,mada,still; not yet
まだ~ていません,mada ~te imasen,have not yet
まで,made,until ~; as far as ~; to (an extent)
前に,mae ni,before ~; in front of ~
ませんか,masen ka,would you; do you want to; shall we~
ましょう,mashou,let's ~; shall we ~
ましょうか,mashouka,shall I ~; used to offer help
も,mo,too; also; as well
もう,mou,already; anymore; again; other
な-adjectives,na-adjectives,na-adjectives
なあ,naa,"confirmation; admiration, etc"
ないで,naide,without doing~
ないでください,naide kudasai,please don't do
ないといけない,naito ikenai,must do; have an obligation to do
なくてもいい,naku temo ii,don't have to
なくちゃ,nakucha,must do; need to; gotta do
なくてはいけない,nakute wa ikenai,must do; need to do
なくてはならない,nakute wa naranai,must do; need to do
なる,naru,to become
んです,ndesu,to explain something; emphasis
ね,ne,isn't it? right? eh?
に,ni,destination particle; in; at; on; to
にいく,ni iku,go to do
にする,ni suru,to decide on
に/へ,ni/e,to (indicates direction / destination)
の,no,possessive particle
のです,no desu,to explain something; emphasis
のが下手,no ga heta,to be bad at doing something
のが上手,no ga jouzu,to be good at
のが好き,no ga suki,to like doing something
の中で[A]が一番,no naka de [A] ga ichiban,"out of this group, [A] is best"
ので,node,because of; given that; since
お/ご,o/go,polite marker; honorific prefix
を,o/wo,object marker particle
をください,o kudasai,please give me~
しかし,shikashi,but; however
それから,sore kara,and then; after that; since then
そして,soshite,and then; thus; and now~
すぎる,sugiru,too much
たことがある,ta koto ga aru,to have done something before
たい,tai,want to do something
たり~たり,tari~tari,do such things as A and B
てある,te aru,is/has been done (resulting state)
ている,te iru,ongoing action or current state
てから,te kara,after doing~
てください,te kudasai,please do
てはいけない,te wa ikenai,must not; may not; cannot
てもいいです,temo ii desu,is OK to..; is alright to..; may I..?
と,to,and; with; as; connecting particle
とき,toki,when; at this time
とても,totemo,very; awfully; exceedingly​
つもり,tsumori,plan to ~; intend to ~
は,wa - topic marker,topic marker
は〜より・・・です,wa ~yori... desu,[A] is more ~ than [B]
はどうですか,wa dou desu ka,how about; how is
や,ya,and; or; connecting particle
よ,yo,you know; emphasis (ending particle)
より~ほうが,yori ~hou ga,[A] is more than [B]
