日本語,Romaji,Meaning
だけ,dake,only; just; as much as
が,ga,subject marker; however; but
か,ka,question particle
か~か,ka~ka,or
から,kara,because; since; from
けど,kedo,but; however; although
けれども,keredo mo,but; however; although
まで,made,until; as far as; even
も,mo,too; also; as well
なあ,naa,sentence ending; confirm; admiration
んです,ndesu,to explain something; emphasis
ね,ne,isn't it? right? eh?
に,ni,destination particle; in/at/on/to
に/へ,ni/e,to (direction / destination)
の,no,possessive particle
のです,no desu,to explain something; emphasis
ので,node,because of; given that; since
お/ご,o / go,polite marker; honorific prefix
を,o / wo,object marker particle
たり~たり,tari~tari,do such things as A and B
と,to,and; with; connecting particle
は,wa,topic marker
や,ya,and; or; connecting particle
よ,yo,you know; ending emphasis
より~ほうが,yori ~hou ga,[A] is more than [B]
